Field name	Description	Type	Versions
fix.ParticipationRate	ParticipationRate (849)	Character string	1.2.0 to 4.2.3
fix.PartyAltID	PartyAltID (1517)	Character string	1.10.0 to 4.2.3
fix.PartyAltIDSource	PartyAltIDSource (1518)	Character string	1.10.0 to 4.2.3
fix.PartyAltSubID	PartyAltSubID (1520)	Character string	1.10.0 to 4.2.3
fix.PartyAltSubIDType	PartyAltSubIDType (1521)	Character string	1.10.0 to 4.2.3
fix.PartyDetailsListReportID	PartyDetailsListReportID (1510)	Character string	1.10.0 to 4.2.3
fix.PartyDetailsListRequestID	PartyDetailsListRequestID (1505)	Character string	1.10.0 to 4.2.3
fix.PartyDetailsRequestResult	PartyDetailsRequestResult (1511)	Character string	1.10.0 to 4.2.3
fix.PartyID	PartyID (448)	Character string	1.0.0 to 4.2.3
fix.PartyIDSource	PartyIDSource (447)	Character string	1.0.0 to 4.2.3
fix.PartyListResponseType	PartyListResponseType (1507)	Character string	1.10.0 to 4.2.3
fix.PartyRelationship	PartyRelationship (1515)	Character string	1.10.0 to 4.2.3
fix.PartyRole	PartyRole (452)	Character string	1.0.0 to 4.2.3
fix.PartySubID	PartySubID (523)	Character string	1.0.0 to 4.2.3
fix.PartySubIDType	PartySubIDType (803)	Character string	1.2.0 to 4.2.3
fix.Password	Password (554)	Character string	1.0.0 to 4.2.3
fix.PaymentDate	PaymentDate (504)	Character string	1.0.0 to 4.2.3
fix.PaymentMethod	PaymentMethod (492)	Character string	1.0.0 to 4.2.3
fix.PaymentRef	PaymentRef (476)	Character string	1.0.0 to 4.2.3
fix.PaymentRemitterID	PaymentRemitterID (505)	Character string	1.0.0 to 4.2.3
fix.PctAtRisk	PctAtRisk (869)	Character string	1.2.0 to 4.2.3
fix.PegDifference	PegDifference (211)	Character string	1.0.0 to 1.0.16
fix.PeggedPrice	PeggedPrice (839)	Character string	1.2.0 to 4.2.3
fix.PeggedRefPrice	PeggedRefPrice (1095)	Character string	1.10.0 to 4.2.3
fix.PegLimitType	PegLimitType (837)	Character string	1.2.0 to 4.2.3
fix.PegMoveType	PegMoveType (835)	Character string	1.2.0 to 4.2.3
fix.PegOffsetType	PegOffsetType (836)	Character string	1.2.0 to 4.2.3
fix.PegOffsetValue	PegOffsetValue (211)	Character string	1.2.0 to 4.2.3
fix.PegPriceType	PegPriceType (1094)	Character string	1.10.0 to 4.2.3
fix.PegRoundDirection	PegRoundDirection (838)	Character string	1.2.0 to 4.2.3
fix.PegScope	PegScope (840)	Character string	1.2.0 to 4.2.3
fix.PegSecurityDesc	PegSecurityDesc (1099)	Character string	1.10.0 to 4.2.3
fix.PegSecurityID	PegSecurityID (1097)	Character string	1.10.0 to 4.2.3
fix.PegSecurityIDSource	PegSecurityIDSource (1096)	Character string	1.10.0 to 4.2.3
fix.PegSymbol	PegSymbol (1098)	Character string	1.10.0 to 4.2.3
fix.Pool	Pool (691)	Character string	1.0.0 to 4.2.3
fix.PosAmt	PosAmt (708)	Character string	1.2.0 to 4.2.3
fix.PosAmtType	PosAmtType (707)	Character string	1.2.0 to 4.2.3
fix.PositionCurrency	PositionCurrency (1055)	Character string	1.10.0 to 4.2.3
fix.PositionEffect	PositionEffect (77)	Character string	1.0.0 to 4.2.3
fix.PositionLimit	PositionLimit (970)	Character string	1.10.0 to 4.2.3
fix.PosMaintAction	PosMaintAction (712)	Character string	1.2.0 to 4.2.3
fix.PosMaintResult	PosMaintResult (723)	Character string	1.2.0 to 4.2.3
fix.PosMaintRptID	PosMaintRptID (721)	Character string	1.2.0 to 4.2.3
fix.PosMaintRptRefID	PosMaintRptRefID (714)	Character string	1.2.0 to 4.2.3
fix.PosMaintStatus	PosMaintStatus (722)	Character string	1.2.0 to 4.2.3
fix.PosQtyStatus	PosQtyStatus (706)	Character string	1.2.0 to 4.2.3
fix.PosReqID	PosReqID (710)	Character string	1.2.0 to 4.2.3
fix.PosReqResult	PosReqResult (728)	Character string	1.2.0 to 4.2.3
fix.PosReqStatus	PosReqStatus (729)	Character string	1.2.0 to 4.2.3
fix.PosReqType	PosReqType (724)	Character string	1.2.0 to 4.2.3
fix.PossDupFlag	PossDupFlag (43)	Character string	1.0.0 to 4.2.3
fix.PossResend	PossResend (97)	Character string	1.0.0 to 4.2.3
fix.PosTransType	PosTransType (709)	Character string	1.2.0 to 4.2.3
fix.PosType	PosType (703)	Character string	1.2.0 to 4.2.3
fix.PreallocMethod	PreallocMethod (591)	Character string	1.0.0 to 4.2.3
fix.PreTradeAnonymity	PreTradeAnonymity (1091)	Character string	1.10.0 to 4.2.3
fix.PrevClosePx	PrevClosePx (140)	Character string	1.0.0 to 4.2.3
fix.PreviouslyReported	PreviouslyReported (570)	Character string	1.0.0 to 4.2.3
fix.Price	Price (44)	Character string	1.0.0 to 4.2.3
fix.Price2	Price2 (640)	Character string	1.0.0 to 4.2.3
fix.PriceDelta	PriceDelta (811)	Character string	1.2.0 to 4.2.3
fix.PriceImprovement	PriceImprovement (639)	Character string	1.0.0 to 4.2.3
fix.PriceLimitType	PriceLimitType (1306)	Character string	1.10.0 to 4.2.3
fix.PriceProtectionScope	PriceProtectionScope (1092)	Character string	1.10.0 to 4.2.3
fix.PriceQuoteMethod	PriceQuoteMethod (1196)	Character string	1.10.0 to 4.2.3
fix.PriceType	PriceType (423)	Character string	1.0.0 to 4.2.3
fix.PriceUnitOfMeasure	PriceUnitOfMeasure (1191)	Character string	1.10.0 to 4.2.3
fix.PriceUnitOfMeasureQty	PriceUnitOfMeasureQty (1192)	Character string	1.10.0 to 4.2.3
fix.PriorityIndicator	PriorityIndicator (638)	Character string	1.0.0 to 4.2.3
fix.PriorSettlPrice	PriorSettlPrice (734)	Character string	1.2.0 to 4.2.3
fix.PriorSpreadIndicator	PriorSpreadIndicator (720)	Character string	1.2.0 to 4.2.3
fix.PrivateQuote	PrivateQuote (1171)	Character string	1.10.0 to 4.2.3
fix.ProcessCode	ProcessCode (81)	Character string	1.0.0 to 4.2.3
fix.Product	Product (460)	Character string	1.0.0 to 4.2.3
fix.ProductComplex	ProductComplex (1227)	Character string	1.10.0 to 4.2.3
fix.ProgPeriodInterval	ProgPeriodInterval (415)	Character string	1.0.0 to 4.2.3
fix.ProgRptReqs	ProgRptReqs (414)	Character string	1.0.0 to 4.2.3
fix.PublishTrdIndicator	PublishTrdIndicator (852)	Character string	1.2.0 to 4.2.3
fix.PutOrCall	PutOrCall (201)	Character string	1.0.0 to 4.2.3
fix.QtyType	QtyType (854)	Character string	1.2.0 to 4.2.3
fix.Quantity	Quantity (53)	Character string	1.0.0 to 4.2.3
fix.QuantityDate	QuantityDate (976)	Character string	1.10.0 to 4.2.3
fix.QuantityType	QuantityType (465)	Character string	1.0.0 to 4.2.3
fix.QuoteCancelType	QuoteCancelType (298)	Character string	1.0.0 to 4.2.3
fix.QuoteCondition	QuoteCondition (276)	Character string	1.0.0 to 4.2.3
fix.QuoteEntryID	QuoteEntryID (299)	Character string	1.0.0 to 4.2.3
fix.QuoteEntryRejectReason	QuoteEntryRejectReason (368)	Character string	1.0.0 to 4.2.3
fix.QuoteEntryStatus	QuoteEntryStatus (1167)	Character string	1.10.0 to 4.2.3
fix.QuoteID	QuoteID (117)	Character string	1.0.0 to 4.2.3
fix.QuoteMsgID	QuoteMsgID (1166)	Character string	1.10.0 to 4.2.3
fix.QuotePriceType	QuotePriceType (692)	Character string	1.2.0 to 4.2.3
fix.QuoteQualifier	QuoteQualifier (695)	Character string	1.0.0 to 4.2.3
fix.QuoteRejectReason	QuoteRejectReason (300)	Character string	1.0.0 to 4.2.3
fix.QuoteReqID	QuoteReqID (131)	Character string	1.0.0 to 4.2.3
fix.QuoteRequestRejectReason	QuoteRequestRejectReason (658)	Character string	1.0.0 to 4.2.3
fix.QuoteRequestType	QuoteRequestType (303)	Character string	1.0.0 to 4.2.3
fix.QuoteRespID	QuoteRespID (693)	Character string	1.0.0 to 4.2.3
fix.QuoteResponseLevel	QuoteResponseLevel (301)	Character string	1.0.0 to 4.2.3
fix.QuoteRespType	QuoteRespType (694)	Character string	1.0.0 to 4.2.3
fix.QuoteSetID	QuoteSetID (302)	Character string	1.0.0 to 4.2.3
fix.QuoteSetValidUntilTime	QuoteSetValidUntilTime (367)	Character string	1.0.0 to 4.2.3
fix.QuoteStatus	QuoteStatus (297)	Character string	1.0.0 to 4.2.3
fix.QuoteStatusReqID	QuoteStatusReqID (649)	Character string	1.0.0 to 4.2.3
fix.QuoteType	QuoteType (537)	Character string	1.0.0 to 4.2.3
fix.RateSource	RateSource (1446)	Character string	1.10.0 to 4.2.3
fix.RateSourceType	RateSourceType (1447)	Character string	1.10.0 to 4.2.3
fix.RatioQty	RatioQty (319)	Character string	1.0.0 to 4.2.3
fix.RawData	RawData (96)	Character string	1.0.0 to 4.2.3
fix.RawDataLength	RawDataLength (95)	Character string	1.0.0 to 4.2.3
fix.ReceivedDeptID	ReceivedDeptID (1030)	Character string	1.10.0 to 4.2.3
fix.RedemptionDate	RedemptionDate (240)	Character string	1.0.0 to 4.2.3
fix.RefAllocID	RefAllocID (72)	Character string	1.0.0 to 4.2.3
fix.RefApplExtID	RefApplExtID (1406)	Character string	1.10.0 to 4.2.3
fix.RefApplID	RefApplID (1355)	Character string	1.10.0 to 4.2.3
fix.RefApplLastSeqNum	RefApplLastSeqNum (1357)	Character string	1.10.0 to 4.2.3
fix.RefApplReqID	RefApplReqID (1433)	Character string	1.10.0 to 4.2.3
fix.RefApplVerID	RefApplVerID (1130)	Character string	1.10.0 to 4.2.3
fix.RefCompID	RefCompID (930)	Character string	1.2.0 to 4.2.3
fix.RefCstmApplVerID	RefCstmApplVerID (1131)	Character string	1.10.0 to 4.2.3
fix.ReferencePage	ReferencePage (1448)	Character string	1.10.0 to 4.2.3
fix.RefMsgType	RefMsgType (372)	Character string	1.0.0 to 4.2.3
fix.RefOrderID	RefOrderID (1080)	Character string	1.10.0 to 4.2.3
fix.RefOrderIDSource	RefOrderIDSource (1081)	Character string	1.10.0 to 4.2.3
fix.RefOrdIDReason	RefOrdIDReason (1431)	Character string	1.10.0 to 4.2.3
fix.RefreshIndicator	RefreshIndicator (1187)	Character string	1.10.0 to 4.2.3
fix.RefreshQty	RefreshQty (1088)	Character string	1.10.0 to 4.2.3
fix.RefSeqNum	RefSeqNum (45)	Character string	1.0.0 to 4.2.3
fix.RefSubID	RefSubID (931)	Character string	1.2.0 to 4.2.3
fix.RefTagID	RefTagID (371)	Character string	1.0.0 to 4.2.3
fix.RegistAcctType	RegistAcctType (493)	Character string	1.0.0 to 4.2.3
fix.RegistDetls	RegistDetls (509)	Character string	1.0.0 to 1.0.16
fix.RegistDtls	RegistDtls (509)	Character string	1.2.0 to 4.2.3
fix.RegistEmail	RegistEmail (511)	Character string	1.0.0 to 4.2.3
fix.RegistID	RegistID (513)	Character string	1.0.0 to 4.2.3
fix.RegistRefID	RegistRefID (508)	Character string	1.0.0 to 4.2.3
fix.RegistRejReasonCode	RegistRejReasonCode (507)	Character string	1.0.0 to 4.2.3
fix.RegistRejReasonText	RegistRejReasonText (496)	Character string	1.0.0 to 4.2.3
fix.RegistStatus	RegistStatus (506)	Character string	1.0.0 to 4.2.3
fix.RegistTransType	RegistTransType (514)	Character string	1.0.0 to 4.2.3
fix.RejectText	RejectText (1328)	Character string	1.10.0 to 4.2.3
fix.RelatdSym	RelatdSym (46)	Character string	1.0.0 to 4.2.3
fix.RelatedContextPartyID	RelatedContextPartyID (1576)	Character string	1.10.0 to 4.2.3
fix.RelatedContextPartyIDSource	RelatedContextPartyIDSource (1577)	Character string	1.10.0 to 4.2.3
fix.RelatedContextPartyRole	RelatedContextPartyRole (1578)	Character string	1.10.0 to 4.2.3
fix.RelatedContextPartySubID	RelatedContextPartySubID (1580)	Character string	1.10.0 to 4.2.3
fix.RelatedContextPartySubIDType	RelatedContextPartySubIDType (1581)	Character string	1.10.0 to 4.2.3
fix.RelatedPartyAltID	RelatedPartyAltID (1570)	Character string	1.10.0 to 4.2.3
fix.RelatedPartyAltIDSource	RelatedPartyAltIDSource (1571)	Character string	1.10.0 to 4.2.3
fix.RelatedPartyAltSubID	RelatedPartyAltSubID (1573)	Character string	1.10.0 to 4.2.3
fix.RelatedPartyAltSubIDType	RelatedPartyAltSubIDType (1574)	Character string	1.10.0 to 4.2.3
fix.RelatedPartyID	RelatedPartyID (1563)	Character string	1.10.0 to 4.2.3
fix.RelatedPartyIDSource	RelatedPartyIDSource (1564)	Character string	1.10.0 to 4.2.3
fix.RelatedPartyRole	RelatedPartyRole (1565)	Character string	1.10.0 to 4.2.3
fix.RelatedPartySubID	RelatedPartySubID (1567)	Character string	1.10.0 to 4.2.3
fix.RelatedPartySubIDType	RelatedPartySubIDType (1568)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskCFICode	RelationshipRiskCFICode (1599)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskCouponRate	RelationshipRiskCouponRate (1608)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskEncodedSecurityDesc	RelationshipRiskEncodedSecurityDesc (1619)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskEncodedSecurityDescLen	RelationshipRiskEncodedSecurityDescLen (1618)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskFlexibleIndicator	RelationshipRiskFlexibleIndicator (1607)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskInstrumentMultiplier	RelationshipRiskInstrumentMultiplier (1612)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskInstrumentOperator	RelationshipRiskInstrumentOperator (1588)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskInstrumentSettlType	RelationshipRiskInstrumentSettlType (1611)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskLimitAmount	RelationshipRiskLimitAmount (1584)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskLimitCurrency	RelationshipRiskLimitCurrency (1585)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskLimitPlatform	RelationshipRiskLimitPlatform (1586)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskLimitType	RelationshipRiskLimitType (1583)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskMaturityMonthYear	RelationshipRiskMaturityMonthYear (1602)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskMaturityTime	RelationshipRiskMaturityTime (1603)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskProduct	RelationshipRiskProduct (1596)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskProductComplex	RelationshipRiskProductComplex (1597)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskPutOrCall	RelationshipRiskPutOrCall (1606)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskRestructuringType	RelationshipRiskRestructuringType (1604)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityAltID	RelationshipRiskSecurityAltID (1594)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityAltIDSource	RelationshipRiskSecurityAltIDSource (1595)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityDesc	RelationshipRiskSecurityDesc (1610)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityExchange	RelationshipRiskSecurityExchange (1609)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityGroup	RelationshipRiskSecurityGroup (1598)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityID	RelationshipRiskSecurityID (1591)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityIDSource	RelationshipRiskSecurityIDSource (1592)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecuritySubType	RelationshipRiskSecuritySubType (1601)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSecurityType	RelationshipRiskSecurityType (1600)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSeniority	RelationshipRiskSeniority (1605)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSymbol	RelationshipRiskSymbol (1589)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskSymbolSfx	RelationshipRiskSymbolSfx (1590)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskWarningLevelName	RelationshipRiskWarningLevelName (1615)	Character string	1.10.0 to 4.2.3
fix.RelationshipRiskWarningLevelPercent	RelationshipRiskWarningLevelPercent (1614)	Character string	1.10.0 to 4.2.3
fix.RelSymTransactTime	RelSymTransactTime (1504)	Character string	1.10.0 to 4.2.3
fix.RepoCollateralSecurityType	RepoCollateralSecurityType (239)	Character string	1.0.0 to 4.2.3
fix.ReportedPx	ReportedPx (861)	Character string	1.2.0 to 4.2.3
fix.ReportedPxDiff	ReportedPxDiff (1134)	Character string	1.10.0 to 4.2.3
fix.ReportToExch	ReportToExch (113)	Character string	1.0.0 to 4.2.3
fix.RepurchaseRate	RepurchaseRate (227)	Character string	1.0.0 to 4.2.3
fix.RepurchaseTerm	RepurchaseTerm (226)	Character string	1.0.0 to 4.2.3
fix.RequestedPartyRole	RequestedPartyRole (1509)	Character string	1.10.0 to 4.2.3
fix.ReservedAllocated	ReservedAllocated (261)	Character string	1.0.0 to 1.0.16
fix.ResetSeqNumFlag	ResetSeqNumFlag (141)	Character string	1.0.0 to 4.2.3
fix.RespondentType	RespondentType (1172)	Character string	1.10.0 to 4.2.3
fix.ResponseDestination	ResponseDestination (726)	Character string	1.2.0 to 4.2.3
fix.ResponseTransportType	ResponseTransportType (725)	Character string	1.2.0 to 4.2.3
fix.RestructuringType	RestructuringType (1449)	Character string	1.10.0 to 4.2.3
fix.ReversalIndicator	ReversalIndicator (700)	Character string	1.2.0 to 4.2.3
fix.RFQReqID	RFQReqID (644)	Character string	1.0.0 to 4.2.3
fix.RiskCFICode	RiskCFICode (1546)	Character string	1.10.0 to 4.2.3
fix.RiskCouponRate	RiskCouponRate (1555)	Character string	1.10.0 to 4.2.3
fix.RiskEncodedSecurityDesc	RiskEncodedSecurityDesc (1621)	Character string	1.10.0 to 4.2.3
fix.RiskEncodedSecurityDescLen	RiskEncodedSecurityDescLen (1620)	Character string	1.10.0 to 4.2.3
fix.RiskFlexibleIndicator	RiskFlexibleIndicator (1554)	Character string	1.10.0 to 4.2.3
fix.RiskFreeRate	RiskFreeRate (1190)	Character string	1.10.0 to 4.2.3
fix.RiskInstrumentMultiplier	RiskInstrumentMultiplier (1558)	Character string	1.10.0 to 4.2.3
fix.RiskInstrumentOperator	RiskInstrumentOperator (1535)	Character string	1.10.0 to 4.2.3
fix.RiskInstrumentSettlType	RiskInstrumentSettlType (1557)	Character string	1.10.0 to 4.2.3
fix.RiskLimitAmount	RiskLimitAmount (1531)	Character string	1.10.0 to 4.2.3
fix.RiskLimitCurrency	RiskLimitCurrency (1532)	Character string	1.10.0 to 4.2.3
fix.RiskLimitPlatform	RiskLimitPlatform (1533)	Character string	1.10.0 to 4.2.3
fix.RiskLimitType	RiskLimitType (1530)	Character string	1.10.0 to 4.2.3
fix.RiskMaturityMonthYear	RiskMaturityMonthYear (1549)	Character string	1.10.0 to 4.2.3
fix.RiskMaturityTime	RiskMaturityTime (1550)	Character string	1.10.0 to 4.2.3
fix.RiskProduct	RiskProduct (1543)	Character string	1.10.0 to 4.2.3
fix.RiskProductComplex	RiskProductComplex (1544)	Character string	1.10.0 to 4.2.3
fix.RiskPutOrCall	RiskPutOrCall (1553)	Character string	1.10.0 to 4.2.3
fix.RiskRestructuringType	RiskRestructuringType (1551)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityAltID	RiskSecurityAltID (1541)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityAltIDSource	RiskSecurityAltIDSource (1542)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityDesc	RiskSecurityDesc (1556)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityExchange	RiskSecurityExchange (1616)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityGroup	RiskSecurityGroup (1545)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityID	RiskSecurityID (1538)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityIDSource	RiskSecurityIDSource (1539)	Character string	1.10.0 to 4.2.3
fix.RiskSecuritySubType	RiskSecuritySubType (1548)	Character string	1.10.0 to 4.2.3
fix.RiskSecurityType	RiskSecurityType (1547)	Character string	1.10.0 to 4.2.3
fix.RiskSeniority	RiskSeniority (1552)	Character string	1.10.0 to 4.2.3
fix.RiskSymbol	RiskSymbol (1536)	Character string	1.10.0 to 4.2.3
fix.RiskSymbolSfx	RiskSymbolSfx (1537)	Character string	1.10.0 to 4.2.3
fix.RiskWarningLevelName	RiskWarningLevelName (1561)	Character string	1.10.0 to 4.2.3
fix.RiskWarningLevelPercent	RiskWarningLevelPercent (1560)	Character string	1.10.0 to 4.2.3
fix.RndPx	RndPx (991)	Character string	1.10.0 to 4.2.3
fix.RootPartyID	RootPartyID (1117)	Character string	1.10.0 to 4.2.3
fix.RootPartyIDSource	RootPartyIDSource (1118)	Character string	1.10.0 to 4.2.3
fix.RootPartyRole	RootPartyRole (1119)	Character string	1.10.0 to 4.2.3
fix.RootPartySubID	RootPartySubID (1121)	Character string	1.10.0 to 4.2.3
fix.RootPartySubIDType	RootPartySubIDType (1122)	Character string	1.10.0 to 4.2.3
fix.RoundingDirection	RoundingDirection (468)	Character string	1.0.0 to 4.2.3
fix.RoundingModulus	RoundingModulus (469)	Character string	1.0.0 to 4.2.3
fix.RoundLot	RoundLot (561)	Character string	1.0.0 to 4.2.3
fix.RoutingID	RoutingID (217)	Character string	1.0.0 to 4.2.3
fix.RoutingType	RoutingType (216)	Character string	1.0.0 to 4.2.3
fix.RptSeq	RptSeq (83)	Character string	1.0.0 to 4.2.3
fix.RptSys	RptSys (1135)	Character string	1.10.0 to 4.2.3
fix.Rule80A	Rule80A (47)	Character string	1.0.0 to 4.2.3
fix.Scope	Scope (546)	Character string	1.0.0 to 4.2.3
fix.SecDefStatus	SecDefStatus (653)	Character string	1.0.0 to 4.2.3
fix.SecondaryAllocID	SecondaryAllocID (793)	Character string	1.2.0 to 4.2.3
fix.SecondaryClOrdID	SecondaryClOrdID (526)	Character string	1.0.0 to 4.2.3
fix.SecondaryDisplayQty	SecondaryDisplayQty (1082)	Character string	1.10.0 to 4.2.3
fix.SecondaryExecID	SecondaryExecID (527)	Character string	1.0.0 to 4.2.3
fix.SecondaryFirmTradeID	SecondaryFirmTradeID (1042)	Character string	1.10.0 to 4.2.3
fix.SecondaryHighLimitPrice	SecondaryHighLimitPrice (1230)	Character string	1.10.0 to 4.2.3
fix.SecondaryIndividualAllocID	SecondaryIndividualAllocID (989)	Character string	1.10.0 to 4.2.3
fix.SecondaryLowLimitPrice	SecondaryLowLimitPrice (1221)	Character string	1.10.0 to 4.2.3
fix.SecondaryOrderID	SecondaryOrderID (198)	Character string	1.0.0 to 4.2.3
fix.SecondaryPriceLimitType	SecondaryPriceLimitType (1305)	Character string	1.10.0 to 4.2.3
fix.SecondaryTradeID	SecondaryTradeID (1040)	Character string	1.10.0 to 4.2.3
fix.SecondaryTradeReportID	SecondaryTradeReportID (818)	Character string	1.2.0 to 4.2.3
fix.SecondaryTradeReportRefID	SecondaryTradeReportRefID (881)	Character string	1.2.0 to 4.2.3
fix.SecondaryTradingReferencePrice	SecondaryTradingReferencePrice (1240)	Character string	1.10.0 to 4.2.3
fix.SecondaryTrdType	SecondaryTrdType (855)	Character string	1.2.0 to 4.2.3
fix.SecureData	SecureData (91)	Character string	1.0.0 to 4.2.3
fix.SecureDataLen	SecureDataLen (90)	Character string	1.0.0 to 4.2.3
fix.SecurityAltID	SecurityAltID (455)	Character string	1.0.0 to 4.2.3
fix.SecurityAltIDSource	SecurityAltIDSource (456)	Character string	1.0.0 to 4.2.3
fix.SecurityDesc	SecurityDesc (107)	Character string	1.0.0 to 4.2.3
fix.SecurityExchange	SecurityExchange (207)	Character string	1.0.0 to 4.2.3
fix.SecurityGroup	SecurityGroup (1151)	Character string	1.10.0 to 4.2.3
fix.SecurityID	SecurityID (48)	Character string	1.0.0 to 4.2.3
fix.SecurityIDSource	SecurityIDSource (22)	Character string	1.0.0 to 4.2.3
fix.SecurityListDesc	SecurityListDesc (1467)	Character string	1.10.0 to 4.2.3
fix.SecurityListID	SecurityListID (1465)	Character string	1.10.0 to 4.2.3
fix.SecurityListRefID	SecurityListRefID (1466)	Character string	1.10.0 to 4.2.3
fix.SecurityListRequestType	SecurityListRequestType (559)	Character string	1.0.0 to 4.2.3
fix.SecurityListType	SecurityListType (1470)	Character string	1.10.0 to 4.2.3
fix.SecurityListTypeSource	SecurityListTypeSource (1471)	Character string	1.10.0 to 4.2.3
fix.SecurityReportID	SecurityReportID (964)	Character string	1.10.0 to 4.2.3
fix.SecurityReqID	SecurityReqID (320)	Character string	1.0.0 to 4.2.3
fix.SecurityRequestResult	SecurityRequestResult (560)	Character string	1.0.0 to 4.2.3
fix.SecurityRequestType	SecurityRequestType (321)	Character string	1.0.0 to 4.2.3
fix.SecurityResponseID	SecurityResponseID (322)	Character string	1.0.0 to 4.2.3
fix.SecurityResponseType	SecurityResponseType (323)	Character string	1.0.0 to 4.2.3
fix.SecuritySettlAgentAcctName	SecuritySettlAgentAcctName (179)	Character string	1.0.0 to 4.2.3
fix.SecuritySettlAgentAcctNum	SecuritySettlAgentAcctNum (178)	Character string	1.0.0 to 4.2.3
fix.SecuritySettlAgentCode	SecuritySettlAgentCode (177)	Character string	1.0.0 to 4.2.3
fix.SecuritySettlAgentContactName	SecuritySettlAgentContactName (180)	Character string	1.0.0 to 4.2.3
fix.SecuritySettlAgentContactPhone	SecuritySettlAgentContactPhone (181)	Character string	1.0.0 to 4.2.3
fix.SecuritySettlAgentName	SecuritySettlAgentName (176)	Character string	1.0.0 to 4.2.3
fix.SecurityStatus	SecurityStatus (965)	Character string	1.10.0 to 4.2.3
fix.SecurityStatusReqID	SecurityStatusReqID (324)	Character string	1.0.0 to 4.2.3
fix.SecuritySubType	SecuritySubType (762)	Character string	1.0.0 to 4.2.3
fix.SecurityTradingEvent	SecurityTradingEvent (1174)	Character string	1.10.0 to 4.2.3
fix.SecurityTradingStatus	SecurityTradingStatus (326)	Character string	1.0.0 to 4.2.3
fix.SecurityType	SecurityType (167)	Character string	1.0.0 to 4.2.3
fix.SecurityUpdateAction	SecurityUpdateAction (980)	Character string	1.10.0 to 4.2.3
fix.SecurityXML	SecurityXML (1185)	Character string	1.10.0 to 4.2.3
fix.SecurityXMLLen	SecurityXMLLen (1184)	Character string	1.10.0 to 4.2.3
fix.SecurityXMLSchema	SecurityXMLSchema (1186)	Character string	1.10.0 to 4.2.3
fix.SellerDays	SellerDays (287)	Character string	1.0.0 to 4.2.3
fix.SellVolume	SellVolume (331)	Character string	1.0.0 to 4.2.3
fix.SenderCompID	SenderCompID (49)	Character string	1.0.0 to 4.2.3
fix.SenderLocationID	SenderLocationID (142)	Character string	1.0.0 to 4.2.3
fix.SenderSubID	SenderSubID (50)	Character string	1.0.0 to 4.2.3
fix.SendingDate	SendingDate (51)	Character string	1.0.0 to 4.2.3
fix.SendingTime	SendingTime (52)	Character string	1.0.0 to 4.2.3
fix.Seniority	Seniority (1450)	Character string	1.10.0 to 4.2.3
fix.SessionRejectReason	SessionRejectReason (373)	Character string	1.0.0 to 4.2.3
fix.SessionStatus	SessionStatus (1409)	Character string	1.10.0 to 4.2.3
fix.SettlBrkrCode	SettlBrkrCode (174)	Character string	1.0.0 to 4.2.3
fix.SettlCurrAmt	SettlCurrAmt (119)	Character string	1.0.0 to 4.2.3
fix.SettlCurrBidFxRate	SettlCurrBidFxRate (656)	Character string	1.0.0 to 4.2.3
fix.SettlCurrency	SettlCurrency (120)	Character string	1.0.0 to 4.2.3
